Dataset,Model,MAE,MSE,RMSE,R2,Adjusted_R2,CV_Score,Training_Score,Testing_Score,Rank
California,Gradient Boosting Regressor,0.334824391807804,0.24710217244057545,0.4970937260120826,0.811431258070067,0.8110650162794772,0.8188624323321262,0.8694832764042262,0.811431258070067,1
California,Random Forest Regressor,0.32804161082128436,0.2559512621667428,0.5059162600339534,0.8046783359876447,0.8042989785435809,0.8042608204432782,0.9631783125017622,0.8046783359876447,2
California,Decision Tree Regressor,0.4309563376972978,0.4079839239814683,0.6387361927912558,0.6886590898292316,0.6880543976026314,0.710317446665574,0.8228758679632282,0.6886590898292316,3
California,Multiple Linear Regression,0.5332001304956565,0.5558915986952444,0.7455813830127764,0.5757877060324508,0.5749637928613558,0.6114839952560993,0.6125511913966952,0.5757877060324508,4
California,Simple Linear Regression,0.629908653009376,0.7091157771765548,0.8420901241414454,0.45885918903846656,0.4587280351821986,0.4767284943715149,0.47699273458205227,0.45885918903846656,5
Ames,Multiple Linear Regression,16026.639934459947,504900255.18967366,22469.985651746058,0.9037995404849513,0.8902182991416503,0.8935332777051457,0.915283491447936,0.9037995404849513,1
Ames,Gradient Boosting Regressor,16387.73600911924,547690466.9787085,23402.78758991562,0.895646567705595,0.8809143184405026,0.8934064950019522,0.9619567561756985,0.895646567705595,2
Ames,Random Forest Regressor,18518.414331976088,725820964.6461599,26941.06465316766,0.8617067240372339,0.8421829674307257,0.8695640970064611,0.9764571895580578,0.8617067240372339,3
Ames,Decision Tree Regressor,25964.663264658495,1352198745.0092719,36772.25509822959,0.7423607152333547,0.7059881103251224,0.7751500756685249,0.8993153244860622,0.7423607152333547,4
Ames,Simple Linear Regression,40137.31209514073,3404754725.6799164,58350.276140562666,0.351279850267858,0.34904288423429897,0.5214764494441051,0.5120581042907297,0.351279850267858,5
Uci,Random Forest Regressor,3.903619960741556,32.01346581806103,5.658044345713546,0.8091707524375921,0.7941052855247703,0.6520733693608893,0.9151508673690898,0.8091707524375921,1
Uci,Gradient Boosting Regressor,3.969293767056354,36.414199554057554,6.034417913440993,0.7829383940814113,0.7658019515088912,0.6452001909045866,0.9300044490935542,0.7829383940814113,2
Uci,Decision Tree Regressor,4.49556911003041,42.40361802463426,6.511806049371731,0.7472360359995907,0.7272809862100846,0.5846057528310735,0.8176352044395694,0.7472360359995907,3
Uci,Multiple Linear Regression,5.305232952584969,53.50225236117991,7.314523385783923,0.6810781244679242,0.6559000816627603,0.5395718649681569,0.5581330550666436,0.6810781244679242,4
Uci,Simple Linear Regression,6.920972703573579,77.34399178518461,8.794543295998071,0.538959766501977,0.5332679117674335,0.42016371200844616,0.4316609371791118,0.538959766501977,5
